manufacturer_id,seller_id,name,price,winter,truck,brand,category_id,truck_id,order
6299, ,Diesel Injector Cleaner,72.00,,,,0,,
23327, ,Gulf Brake Fluid DOT 4 (1L),109.00,,,,0,,
4691, ,Radiator Flash,93.00,,,,0,,
21186, ,"автолампа ""Narva"" C5W/12V/5W 17125",17.00,,,,0,,
23246, ,"автолампа ""Narva"" H1/12V/55W 48320",50.00,,,,0,,
23768, ,"автолампа ""Narva"" H7/12V/55W 48328",98.00,,,,0,,
21194, ,"автолампа ""Narva"" P21/4W/12V/21/4W 17881",28.00,,,,0,,
21195, ,"автолампа ""Narva"" P21/5W/12V/21/5W 17916",17.00,,,,0,,
21193, ,"автолампа ""Narva"" PY21/12V/21W 17638",28.00,,,,0,,
21191, ,"автолампа ""Narva"" R10W/12V/10W 17311",17.00,,,,0,,
21189, ,"автолампа ""Narva"" R5W/12V/5W 17171",17.00,,,,0,,
21187, ,"автолампа ""Narva"" T4W/12v/4W 17131",17.00,,,,0,,
21499, ,"автолампа ""Narva"" W1.2W/12V1.2W 17037",12.00,,,,0,,
21185, ,"автолампа ""Narva"" W3W/12V/3W 17097",12.00,,,,0,,
21190, ,"автолампа ""Narva"" W5W/12V/5W 17177",12.00,,,,0,,
21188, ,"автолампа ""Narva"" WY5W/12V/5W 17169",28.00,,,,0,,
23767, ,"автолампа ""Narva"" Р4/12V/60/55W 48881",55.00,,,,0,,
01.30.026, ,Аммортизатор Mercedes D=64мм 530х850,"1,105.00",,,Truckteck,0,,
01.30.049, ,Аммортизатор Mercedes D=64мм 550х870,"1,210.00",,,Truckteck,0,,
01.30.036, ,Аммортизатор Mercedes D=75мм 470х710,"1,155.00",,,Truckteck,0,,
020.290,81437016253,Аммортизатор задний MAN (404-660) 12x14 L2000 (890699),"1,330.00",,,Sampa,0,,
050.210,1328748,Аммортизатор задний MAN (435-702) 20x30 DAF,"1,370.00",,,Sampa,0,,
133314,7420848708,Аммортизатор задний Renault Mascot,"2,321.00",,1,Opoltrans,0,0,
030.315,1629477,Аммортизатор задний Volvlo FH12 (415-713) ш/ш (890620),"1,550.00",,,Sampa,0,,
031.124,20585556,Аммортизатор задний Volvlo FH12 (503-845) 16x20 (890273),"1,550.00",,,Sampa,0,,
030.312,1629482,Аммортизатор задний Volvlo FH12 (505-845) у/ш (890516),"1,590.00",,,Sampa,0,,
060.190,500307352,Аммортизатор кабины Iveco EuroTech (309x380) у/ш,"2,220.00",,,Sampa,0,6,
060.189,500348797,Аммортизатор кабины Iveco EuroTracher (283-357) 16x16,"2,220.00",,,Sampa,0,6,
01.63.007, ,Аммортизатор кабины Mercedes,525.00,,,Truckteck,0,,
01.63.008, ,Аммортизатор кабины Mercedes,560.00,,,Truckteck,0,,
040.142,1369553,Аммортизатор кабины Scania 120mm,192.00,,,Sampa,,4,
01.63.011,9428903119,Аммортизатор кабины зад  Actors,"1,290.00",,,Truckteck,0,,
050.203,1303516,Аммортизатор кабины зад DAF 95XF (235-255) 14x14 (895175),650.00,,,Sampa,0,,
050.204,1319673,Аммортизатор кабины зад DAF 95XF (242-282) у/ш,"1,580.00",,,Sampa,0,5,
05.63.002,81417226013,Аммортизатор кабины задний MAN,"1,180.00",,,Truckteck,0,,
030.307,3198849,Аммортизатор кабины задний Volvlo FH12 (895139),748.00,,,Sampa,0,3,
01.63.018,9428904919,Аммортизатор кабины перед Actors,"1,760.00",,,Truckteck,0,,
01.63.013,9428902819,Аммортизатор кабины перед Actors,"1,330.00",,,Truckteck,0,,
050.209,1319672,Аммортизатор кабины перед DAF 95XF (277-337) у/ш,"1,580.00",,,Sampa,0,5,
030.306,1629722,Аммортизатор кабины перед Volvo FH12,"1,189.00",,,Sampa,0,3,
05.63.001,81417226012,Аммортизатор кабины передний MAN,"1,230.00",,,Truckteck,0,,
095.075,016508,Аммортизатор оси (273-383) 16x16 (Schmitz),"1,397.00",,,Sampa,0,,
