manufacturer_id,seller_id,name,price,winter,truck,brand
ШГТ-008, ,225/65 R16C RADIAL666 (Linglong),"1,470.00",0,0,Ling Long
ШГТ-031, ,195 R14C LMC5 (Linglong),"1,070.00",0,0,Ling Long
ШГТ-044, ,185 R14C LMC5  (Linglong),980.00,0,0,Ling Long
ШГТ-045, ,195 R14C LMC8 (Linglong),880.00,0,0,Ling Long
ШГТ-046, ,195/70 R15C RADIAL666 (Linglong),"1,070.00",0,0,Ling Long
ШГТ-047, ,205/75 R16C RADIAL666 (Linglong),"1,420.00",0,0,Ling Long
ШГТ-048, ,215/75 R16C RADIAL666 (Linglong),"1,470.00",0,0,Ling Long
ШГТ-049, ,225/70 R15C RADIAL666 (Linglong),"1,470.00",0,0,Ling Long
ШГТ-050, ,225/75 R16C RADIAL666 (Linglong),"1,520.00",0,0,Ling Long
ШЛ-036, ,235/50 R18 XL Green-Max (Linglong),"1,540.00",0,0,Ling Long
ШГТ-060, ,195 R15C LMC7 (Linglong),"1,160.00",0,0,Ling Long
ШГТ-063, ,185/75 R16C RADIAL666 (Linglong),"1,280.00",0,0,Ling Long
ШГТ-066, ,215 R14C RADIAL666 (Linglong),"1,260.00",0,0,Ling Long
ШГТ-070, ,175/70 R14 LL700  (Linglong),710.00,0,0,Ling Long
ШГТ-071, ,195/70 R15C LMB3 (Linglong),"1,160.00",0,0,Ling Long
ШГТ-072, ,205/70 R15 LL700 (Linglong),"1,050.00",0,0,Ling Long
ШГТ-073, ,175/65 R14 Green-Max HP (Linglong),730.00,0,0,Ling Long
ШГТ-074, ,235/65 R17 L788 (Linglong),"1,730.00",0,0,Ling Long
ШГТ-075, ,185/70 R14 LL700 (Linglong),790.00,0,0,Ling Long
шл-008, ,185/65 R15 Green-Max HP (Linglong),830.00,0,0,Ling Long
шл-010, ,205/55 R16 Green-Max HP (Linglong),980.00,0,0,Ling Long
шл-011, ,215/55 R16 XL Green-Max (Linglong),"1,220.00",0,0,Ling Long
шл-012, ,225/45 R18 XL Green-Max (Linglong),"1,340.00",0,0,Ling Long
шл-013, ,225/45 R17 XL Green-Max (Linglong),"1,270.00",0,0,Ling Long
шл-014, ,225/50 R17 XL Green-Max (Linglong),"1,340.00",0,0,Ling Long
шл-015, ,245/45 R17 XL Green-Max (Linglong),"1,390.00",0,0,Ling Long
ШЛ-017, ,255/45 R18 XL Green-Max (Linglong),"1,560.00",0,0,Ling Long
ШЛ-018, ,205/60 R15 Green-Max HP (Linglong),870.00,0,0,Ling Long
16285, ,205/70 R14 LL700 (Linglong),980.00,0,0,Ling Long
ШЛ-020, ,205/55 R16 XL Green-Max (Linglong),"1,120.00",0,0,Ling Long
ШЛ-028, ,195/65 R15 Green-Max Eco Touring (Linglong),840.00,0,0,Ling Long
ШЛ-022, ,195/55 R15 Green-Max HP (Linglong),820.00,0,0,Ling Long
ШЛ-023, ,185/65 R15 Green-Max Eco Touring (Linglong),810.00,0,0,Ling Long
ШЛ-024, ,185/65 R14 Green-Max Eco Touring (Linglong),780.00,0,0,Ling Long
ШЛ-025, ,175/70 R13 LL700 (Linglong),690.00,0,0,Ling Long
ШЛ-026, ,175/70 R13 Green-Max Eco Touring (Linglong),690.00,0,0,Ling Long
ШГТ-077, ,155 R12C RADIAL666 (Linglong),720.00,0,0,Ling Long
ШЛ-029, ,195/65 R15 Green-Max HP (Linglong),860.00,0,0,Ling Long
ШЛ-031, ,175/65 R14 Green-Max Eco Touring (Linglong),730.00,0,0,Ling Long
шл-033, ,205/65 R15 Green-Max HP (Linglong),890.00,0,0,Ling Long
ШЛ-034, ,235/45 R17 XL Green-Max (Linglong),"1,370.00",0,0,Ling Long
ШЛ-035, ,185/65 R14 Green-Max HP (Linglong),790.00,0,0,Ling Long
